Bairros,n,obito,mortalidade,mean_idade,Renda_Bairro
SENADOR CAMARA,8283,483,5.831220572,42.27031269,572.69
TAQUARA,8499,694,8.165666549,46.26132486,1154.2
RECREIO DOS BANDEIRANTES,8613,501,5.816788575,46.15987461,2918.19
IRAJA,8917,627,7.031512841,45.0336436,1099.34
PACIENCIA,9603,497,5.175466,41.20743518,517.56
BOTAFOGO,10023,401,4.000798164,46.42771625,3759.53
JACAREPAGUA,12049,663,5.50253133,42.49356793,1049.42
MARE,12801,380,2.968518085,40.26521366,456.72
GUARATIBA,13948,493,3.534556926,37.84270146,556.62
BARRA DA TIJUCA,15044,787,5.231321457,48.25113002,5940.31
COPACABANA,15759,1130,7.170505743,50.71609874,3768.69
REALENGO,16248,1051,6.468488429,43.57582472,768.54
TIJUCA,17410,1134,6.51349799,48.53360138,3023.42
BANGU,19588,1265,6.458035532,43.43475597,653.26
SANTA CRUZ,20969,1057,5.040774477,41.03653012,509.71
Ignorado,30841,299,0.969488668,40.92944457,
CAMPO GRANDE,31343,1997,6.371438599,43.18779313,878.61
